text,label
"ACCOUNT ALERT: Unusual login detected.",1
"Task finished.",0
"Farewell!",0
"WIN CASH: Daily prizes available!",1
"Payment received. Thank you.",0
"SECURITY WARNING: Change password immediately.",1
"Process completed.",0
"So long!",0
"BIG WIN: Lottery results in your favor!",1
"Your order is ready.",0
"ACCOUNT ISSUE: Contact support now.",1
"Operation successful.",0
"Adios!",0
"LUCKY DAY: You've won $5000!",1
"Delivery scheduled.",0
"URGENT SECURITY: Account verification required.",1
"Job done.",0
"Bye!",0
